s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,,United States,"September 25, 2021",2020,PG-13,90 min,Documentaries,"AS HER FATHER NEARS THE END OF HIS LIFE, FILMMAKER KIRSTEN JOHNSON STAGES HIS DEATH IN INVENTIVE AND COMICAL WAYS TO HELP THEM BOTH FACE THE INEVITABLE."
s2,TV Show,Blood & Water,,"Ama Qamata, Khosi Ngema, Gail Mabalane, Thabang Molaba, Dillon Windvogel, Natasha Thahane, Arno Greeff, Xolile Tshabalala, Getmore Sithole, Cindy Mahlangu, Ryle De Morny, Greteli Fincham, Sello Maake Ka-Ncube, Odwa Gwanya, Mekaila Mathys, Sandi Schultz, Duane Williams, Shamilla Miller, Patrick Mofokeng",South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries","AFTER CROSSING PATHS AT A PARTY, A CAPE TOWN TEEN SETS OUT TO PROVE WHETHER A PRIVATE-SCHOOL SWIMMING STAR IS HER SISTER WHO WAS ABDUCTED AT BIRTH."
s3,TV Show,Ganglands,Julien Leclercq,"Sami Bouajila, Tracy Gotoas, Samuel Jouy, Nabiha Akkari, Sofia Lesaffre, Salim Kechiouche, Noureddine Farihi, Geert Van Rampelberg, Bakary Diombera",,"September 24, 2021",2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure","TO PROTECT HIS FAMILY FROM A POWERFUL DRUG LORD, SKILLED THIEF MEHDI AND HIS EXPERT TEAM OF ROBBERS ARE PULLED INTO A VIOLENT AND DEADLY TURF WAR."
s4,TV Show,Jailbirds New Orleans,,,,"September 24, 2021",2021,TV-MA,1 Season,"Docuseries, Reality TV","FEUDS, FLIRTATIONS AND TOILET TALK GO DOWN AMONG THE INCARCERATED WOMEN AT THE ORLEANS JUSTICE CENTER IN NEW ORLEANS ON THIS GRITTY REALITY SERIES."
s5,TV Show,Kota Factory,,"Mayur More, Jitendra Kumar, Ranjan Raj, Alam Khan, Ahsaas Channa, Revathi Pillai, Urvi Singh, Arun Kumar",India,"September 24, 2021",2021,TV-MA,2 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies","IN A CITY OF COACHING CENTERS KNOWN TO TRAIN INDIA’S FINEST COLLEGIATE MINDS, AN EARNEST BUT UNEXCEPTIONAL STUDENT AND HIS FRIENDS NAVIGATE CAMPUS LIFE."
s6,TV Show,Midnight Mass,Mike Flanagan,"Kate Siegel, Zach Gilford, Hamish Linklater, Henry Thomas, Kristin Lehman, Samantha Sloyan, Igby Rigney, Rahul Kohli, Annarah Cymone, Annabeth Gish, Alex Essoe, Rahul Abburi, Matt Biedel, Michael Trucco, Crystal Balint, Louis Oliver",,"September 24, 2021",2021,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries","THE ARRIVAL OF A CHARISMATIC YOUNG PRIEST BRINGS GLORIOUS MIRACLES, OMINOUS MYSTERIES AND RENEWED RELIGIOUS FERVOR TO A DYING TOWN DESPERATE TO BELIEVE."
s7,Movie,My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha","Vanessa Hudgens, Kimiko Glenn, James Marsden, Sofia Carson, Liza Koshy, Ken Jeong, Elizabeth Perkins, Jane Krakowski, Michael McKean, Phil LaMarr",,"September 24, 2021",2021,PG,91 min,Children & Family Movies,"EQUESTRIA'S DIVIDED. BUT A BRIGHT-EYED HERO BELIEVES EARTH PONIES, PEGASI AND UNICORNS SHOULD BE PALS — AND, HOOF TO HEART, SHE’S DETERMINED TO PROVE IT."
s8,Movie,Sankofa,Haile Gerima,"Kofi Ghanaba, Oyafunmike Ogunlano, Alexandra Duah, Nick Medley, Mutabaruka, Afemo Omilami, Reggie Carter, Mzuri","United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia","September 24, 2021",1993,TV-MA,125 min,"Dramas, Independent Movies, International Movies","ON A PHOTO SHOOT IN GHANA, AN AMERICAN MODEL SLIPS BACK IN TIME, BECOMES ENSLAVED ON A PLANTATION AND BEARS WITNESS TO THE AGONY OF HER ANCESTRAL PAST."
s9,TV Show,The Great British Baking Show,Andy Devonshire,"Mel Giedroyc, Sue Perkins, Mary Berry, Paul Hollywood",United Kingdom,"September 24, 2021",2021,TV-14,9 Seasons,"British TV Shows, Reality TV","A TALENTED BATCH OF AMATEUR BAKERS FACE OFF IN A 10-WEEK COMPETITION, WHIPPING UP THEIR BEST DISHES IN THE HOPES OF BEING NAMED THE U.K.'S BEST."
s10,Movie,The Starling,Theodore Melfi,"Melissa McCarthy, Chris O'Dowd, Kevin Kline, Timothy Olyphant, Daveed Diggs, Skyler Gisondo, Laura Harrier, Rosalind Chao, Kimberly Quinn, Loretta Devine, Ravi Kapoor",United States,"September 24, 2021",2021,PG-13,104 min,"Comedies, Dramas",A WOMAN ADJUSTING TO LIFE AFTER A LOSS CONTENDS WITH A FEISTY BIRD THAT'S TAKEN OVER HER GARDEN — AND A HUSBAND WHO'S STRUGGLING TO FIND A WAY FORWARD.
s11,TV Show,"Vendetta: Truth, Lies and The Mafia",,,,"September 24, 2021",2021,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows","\"SICILY BOASTS A BOLD \"\"ANTI-MAFIA\"\" COALITION. BUT WHAT HAPPENS WHEN THOSE TRYING TO BRING DOWN ORGANIZED CRIME ARE ACCUSED OF BEING CRIMINALS THEMSELVES?\""
